"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
921,0.619441747880421,0.363435246361064,-25.6006501519356,"17","020","Tepoztlán"
926,0.766247724176421,0.606998287038525,-15.9249437137897,"17","031","Zacatepec"
928,0.56782236501008,0.437418382873605,-13.0403982136475,"17","019","Tepalcingo"
931,0.64359248698131,0.448060517862953,-19.5531969118357,"17","015","Miacatlán"
933,0.762853767205349,0.596045833386616,-16.6807933818733,"17","011","Jiutepec"
934,0.638893674739013,0.464476388000815,-17.4417286738198,"17","010","Jantetelco"
935,0.669405889042589,0.513157581026068,-15.6248308016521,"17","018","Temixco"
936,0.62337251291141,0.442542449927546,-18.0830062983864,"17","029","Yautepec"
937,0.729348807303139,0.545082431571125,-18.4266375732014,"17","012","Jojutla"
938,0.639255861697417,0.467455343581974,-17.1800518115443,"17","024","Tlaltizapán de Zapata"
939,0.630605566384508,0.362934165106628,-26.767140127788,"17","007","Cuernavaca"
940,0.623109796501857,0.341428077907074,-28.1681718594783,"17","005","Coatlán del Río"
941,0.641295670800444,0.489679816613889,-15.1615854186555,"17","004","Ayala"
943,0.614815502141588,0.428578321980741,-18.6237180160848,"17","032","Zacualpan de Amilpas"
948,0.699105895924841,0.469586717298793,-22.9519178626048,"18","011","Ruíz"
949,0.704244525471046,0.496411017790341,-20.7833507680704,"18","017","Tepic"
952,0.712519003623612,0.553508593921797,-15.9010409701814,"18","004","Compostela"
953,0.722102592404837,0.523905397184644,-19.8197195220194,"18","013","San Pedro Lagunillas"
954,0.770504820591559,0.619160657490351,-15.1344163101207,"18","008","Xalisco"
956,0.644538524514541,0.423364996425947,-22.1173528088594,"18","006","Ixtlán del Río"
957,0.59620835713556,0.403024405677524,-19.3183951458036,"18","007","Jala"
958,0.693818764648282,0.520266244232246,-17.3552520416036,"18","014","Santa María del Oro"
959,0.695104632531674,0.538582036230026,-15.6522596301648,"18","015","Santiago Ixcuintla"
