"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
971,4,0.738185898775276,0.740876565718737,0.269066694346098,1,1,FALSE
972,7,0.93135064276999,0.940093543701112,0.874290093112207,5,5,FALSE
973,9,0.84995570983145,0.868810476257508,1.8854766426058,3,4,TRUE
974,7,0.871028391139772,0.882146918896857,1.11185277570851,4,4,FALSE
975,17,0.808902244753512,0.806569144799077,-0.233309995443487,2,2,FALSE
978,1,0.842767830926107,0.812866863073558,-2.99009678525481,3,2,TRUE
980,63,0.884604670282263,0.756241043377954,-12.8363626904309,4,2,TRUE
981,26,0.893470064282223,0.900323391909295,0.685332762707158,4,4,FALSE
982,1,0.953743797011294,0.930451563054479,-2.32922339568149,5,5,FALSE
985,31,0.846801571205682,0.885984587299988,3.91830160943059,3,4,TRUE
986,19,0.825395777584601,0.879613024314762,5.42172467301618,3,4,TRUE
990,53,0.89740320487289,0.916302002198832,1.88987973259424,5,5,FALSE
995,5,0.904964884913041,0.847290380804825,-5.76745041082157,5,3,TRUE
996,11,0.76565019363929,0.735948466235929,-2.97017274033603,2,1,TRUE
998,31,0.881387890933516,0.914982118419627,3.35942274861109,4,5,TRUE
1031,1,0.865573739031432,0.873397251410997,0.782351237956502,4,4,FALSE
1056,9,0.789093828759531,0.750105828405095,-3.89880003544354,2,2,FALSE
1062,6,0.764370087694419,0.79658052186884,3.22104341744207,2,2,FALSE
1077,2,0.608215035950075,0.565457614490916,-4.27574214591595,1,1,FALSE
1086,5,0.773962640371667,0.804463398081355,3.05007577096881,2,2,FALSE
1113,4,0.654853056619869,0.585507001625301,-6.93460549945683,1,1,FALSE
1126,4,0.900938547188315,0.904218334906499,0.327978771818416,5,5,FALSE
1139,10,0.767977435080168,0.792602088947066,2.46246538668979,2,2,FALSE
1175,5,0.802028732442997,0.852256730709676,5.02279982666788,2,3,TRUE
1188,5,0.523829513694618,0.518485934204422,-0.534357949019593,1,1,FALSE
1192,10,0.883934210098006,0.914012876668381,3.00786665703748,4,5,TRUE
1193,5,0.805563923207456,0.78257891263373,-2.29850105737254,2,2,FALSE
1224,8,0.741004643447739,0.682361008907727,-5.86436345400118,1,1,FALSE
1248,6,0.909589957354528,0.92025919880994,1.06692414554119,5,5,FALSE
1276,2,0.819920440121161,0.844225676273306,2.43052361521449,2,3,TRUE
1346,4,0.695632064148493,0.688047100856063,-0.758496329242941,1,1,FALSE
